Create Date,UUID,Date column,Model,Mileage,Number column,Year,Make,Price,Zip Code,Update Date,VIN,String column
8/11/2006,937480861984,42627,JTTG,112419,1447493,1992,ABEI,"$25,445.00",23393,3/9/2011,587433472,XVVV
6/25/2015,930335086437,43498,LUMP,125642,1081604,2010,LWOH,"$29,252.00",19011,12/11/2012,566454069,VWXD
11/26/2006,664123533750,42866,VRTI,97028,185271,1993,UPOP,"$15,920.00",50460,1/25/2007,284367428,YBFS
11/17/2006,553583519935,43109,TCKK,63940,1469842,1983,NYAW,"$19,865.00",99507,2/6/2013,665183644,GRNO
3/10/2011,211524189603,39514,IVOW,158114,1212108,1986,RPVH,"$29,904.00",27076,7/7/2015,755750954,KAHY
5/12/2019,688219774613,43588,VFIK,245352,412512,1987,AKAS,"$6,947.00",630,2/21/2008,338534906,CHMV
9/16/2014,756254771358,42031,VJTL,164247,366005,1993,PIIK,"$18,740.00",35532,10/12/2019,881535462,EBJD
3/5/2013,176781212925,40088,BWPX,198966,8905,1982,IRPV,"$20,355.00",59031,9/7/2017,358682523,UANR
5/21/2017,454165797488,43821,QRFU,126591,1122548,2013,AUOA,"$20,758.00",98425,11/13/2018,659733713,ESLW
2/12/2008,344101701394,41313,EXBW,59627,274886,1991,WBAJ,"$5,378.00",49958,3/23/2006,502727049,MRSC
4/21/2007,882102911578,41463,LQAH,84498,1281606,2006,YHND,"$28,866.00",83710,11/18/2007,668576352,NXVX
7/10/2006,156452558799,40126,QFQF,37070,678437,1998,VOLC,"$9,850.00",97816,2/5/2007,193069009,OYXE
5/1/2019,587235606881,40967,BOVB,106234,969971,1987,FHRW,"$28,538.00",59331,11/5/2010,686642923,QBME
2/2/2015,763340960632,39692,DCUR,91163,446075,2021,WOMP,"$8,548.00",15230,5/31/2008,387306532,KSBP
4/11/2021,390560786033,41976,QBPY,125836,78625,2022,YMAX,"$6,241.00",25116,9/8/2015,515419427,MRWU
11/26/2006,262566033402,41980,YEMF,212401,75401,1987,BPJI,"$7,288.00",15970,9/9/2015,831282753,WXUI
3/25/2020,993935658535,44126,XQBT,233513,980645,1987,ICXL,"$19,581.00",7930,2/27/2009,567644430,RSMN
11/2/2011,267717894595,42558,USLE,188991,637640,1989,NUAT,"$18,827.00",43391,1/15/2019,185654784,MCOQ
6/16/2015,869769105553,40321,QEDU,126512,1334940,2015,HAPR,"$10,594.00",24006,11/21/2015,912047917,EWHA
9/30/2008,507298133766,43150,IWDX,59604,1057750,1999,PARL,"$17,798.00",98089,9/18/2019,136012489,LLIH
3/19/2011,243184879279,40716,JSSI,159671,790355,2003,MTWJ,"$19,280.00",70546,7/18/2017,951148511,FDRY
6/19/2012,358246806537,39335,NUJL,45887,61981,2013,ESLG,"$6,692.00",86910,8/20/2017,750414461,KHSC
7/12/2011,139802172726,38533,MITE,32823,474707,1984,DXWN,"$25,355.00",58687,3/23/2011,986956537,NKQD
2/11/2005,796402776719,40387,HUIC,211287,1231036,2019,RCVS,"$5,483.00",83453,2/20/2011,802808396,EEAV
4/26/2013,582809159051,39744,USDN,160865,315893,1987,TCIW,"$27,777.00",88048,5/10/2008,640845770,URHM
12/19/2018,210131637192,43684,FUPQ,58069,1107077,1982,QIMV,"$18,469.00",28988,3/4/2020,403062073,SCWA
9/2/2017,703098087853,42215,HMEL,31360,299046,1986,HBRH,"$15,189.00",56502,12/8/2008,512431949,TFEN
4/2/2013,569172901086,39122,PXKC,204804,1422160,2001,JPJL,"$26,916.00",86107,5/6/2013,276453753,SSGD
1/12/2005,131059311300,39336,TFXE,4539,955121,1987,GWCJ,"$5,128.00",9477,4/4/2005,819768116,KJHX
10/23/2013,412144254643,42354,NBDC,91240,642072,2006,HPFA,"$19,964.00",17256,12/3/2007,199977849,SYOA
8/15/2013,881188338581,41225,GQDE,231082,85165,2016,JKXK,"$28,580.00",43702,9/2/2008,674088667,WXWE
8/24/2011,426863182903,41724,DHWE,22750,1110670,1996,TWJR,"$25,258.00",11055,7/14/2011,307544631,FYVG
1/4/2012,416741093690,41181,HKLU,189062,1454845,1982,BRTJ,"$7,190.00",68670,1/16/2016,129066522,REKM
8/23/2008,356788085528,40829,IBQD,91146,440566,1997,XTRX,"$9,885.00",43401,5/25/2009,919236436,IEPP
12/31/2020,594895799610,40080,EICV,188369,184308,2001,OAXJ,"$22,483.00",93195,12/13/2014,462267959,OHKG
3/24/2006,103836935913,40086,HEKP,31242,353954,2005,NCKJ,"$5,403.00",92889,12/3/2016,174683685,HXOF
1/4/2020,779666729432,38505,QXYE,166169,1352048,2005,FFXE,"$11,573.00",88015,9/28/2012,608186375,OBBF
12/19/2007,987317487721,43064,OGVE,128493,169868,2010,EXHX,"$28,072.00",44154,12/12/2020,771112858,GSWN
3/21/2014,164407608906,43849,PVQM,189916,572665,1994,YHSC,"$18,014.00",91907,10/3/2015,263709042,FTNL
5/10/2020,105720328128,39145,JPEI,88009,933390,2020,JNJL,"$28,588.00",4036,12/3/2007,531775867,MCMB
10/2/2011,345188290457,39955,JXXF,223817,338956,2002,NGXI,"$10,095.00",87578,1/29/2016,231733188,QXUF
2/25/2021,973014411874,42054,VQWM,60446,523302,1990,HYYL,"$9,831.00",27674,11/24/2020,589691390,DCDF
1/5/2013,315493349452,40807,VHQG,149838,1004186,2011,WNML,"$19,483.00",3891,5/2/2006,393326847,BXYO
5/11/2009,224491027880,42870,SLTH,21409,904102,2003,JCCJ,"$5,670.00",41187,1/8/2013,139621105,AKWH
3/20/2014,229249184805,41389,TBNJ,42365,935912,2003,NLJD,"$10,069.00",77558,4/23/2007,397561565,TVPV
4/23/2021,615081632622,40671,OIDF,65983,1168737,2017,VSXM,"$24,186.00",48616,7/27/2007,232985723,OSYY
6/3/2008,578626781957,42959,JTFE,150885,225215,1997,PEOU,"$18,897.00",75351,4/11/2007,907981961,RPBC
5/7/2011,941698244258,41909,NVNO,231683,471399,2002,DMLB,"$6,722.00",565,8/24/2006,806330704,VTJN
5/17/2016,413690563637,43067,VXDD,78895,758145,2004,ATMT,"$6,637.00",77328,1/24/2009,130481546,BGNX
10/11/2020,382093440990,43469,JFUQ,131026,175017,1984,SOKL,"$5,353.00",65033,5/14/2017,804622458,RNMI
1/7/2014,858882894819,41898,YCQC,181002,442855,2010,DEQW,"$14,186.00",13375,5/3/2021,786803575,SISD
4/19/2017,347905774170,41583,OIEE,58167,917241,1996,NAWO,"$15,573.00",95322,7/2/2020,892051841,BFWL
10/18/2010,255475519602,43270,OHXU,90594,1093224,2006,DISL,"$12,090.00",35326,4/5/2020,766466515,NMBH
1/25/2015,736151947705,39334,FIHI,77648,253773,2001,XBBQ,"$18,649.00",10735,7/13/2013,511409946,HVTM
11/28/2013,236220337661,40320,NOFD,136794,62102,1984,HELQ,"$17,026.00",71448,6/28/2010,845927758,RMHC
6/3/2006,838968736008,42199,LIGI,11741,265168,1981,WQOP,"$16,709.00",51701,5/30/2014,530065732,OEDS
4/30/2014,158044535599,42995,NNNV,86836,500258,2020,UIHK,"$5,794.00",20569,6/16/2015,273358974,ETIU
10/7/2011,338729073839,40604,EAGJ,246628,1022252,2021,SEEE,"$18,817.00",7858,6/14/2017,888008912,JMWM
3/6/2011,328122316849,40020,MOKA,242609,1291026,2001,VOVB,"$15,092.00",91724,1/7/2008,479438615,VEJW
7/23/2006,197899606443,43503,XGSQ,118448,732134,1981,HCES,"$8,285.00",44463,1/31/2008,278533017,FDFO
7/30/2010,538191217329,39453,YJWC,221520,979824,1999,PHHT,"$24,913.00",18858,1/28/2010,545809270,GQXA
5/24/2005,318631356384,41195,ILGW,189283,1233301,2008,ORNE,"$10,953.00",26130,1/19/2016,552440821,TLCO
8/23/2012,209557654142,40276,YAQP,154087,623531,2021,HRKL,"$8,999.00",86527,8/13/2016,182850558,TOBV
10/24/2016,934848721518,41191,UUDW,9121,415425,2016,GXQF,"$14,044.00",96720,6/6/2015,444991074,DUIF
11/19/2018,167648843118,43727,KKXW,221728,1210036,1997,EKKG,"$26,565.00",94500,11/20/2018,384545565,KJWH
12/7/2007,843606724467,40179,NQER,156831,1031507,1989,PXIA,"$11,369.00",67677,4/29/2017,404314392,SMGJ
4/8/2010,538836816399,44240,LPHD,145999,1170696,2014,YTGO,"$15,964.00",89721,8/24/2020,620646629,PPWG
7/1/2006,437118569477,40448,PEEK,208849,582538,2008,TSKU,"$18,600.00",74390,5/8/2015,919165724,PWKT
10/27/2013,255003169146,43091,GCPR,208569,184296,1994,YAGP,"$16,468.00",71867,4/9/2006,333061620,AXER
2/8/2017,161819514257,43130,LHNH,154483,1379665,1993,ONMG,"$28,136.00",19204,12/10/2013,841420428,LKSG
1/22/2017,982175999204,42536,CDRB,6131,779122,2006,OSEU,"$20,443.00",72345,9/3/2014,345187169,UBXE
12/30/2014,676151103636,42337,EHTE,241267,606349,2012,SICF,"$24,916.00",51363,2/27/2016,608741060,VLUI
