UUID,VIN,Make,Model,Mileage,Year,Price,Zip Code,Create Date,Update Date,String column,Number column,Date column
982631731400,593275613,JKHH,KITH,109852,1983,"$23,032.00",43120,9/11/2016,7/20/2011,WBSK,334978,42379
718444767129,948452301,RULJ,PNFN,37991,2010,"$18,060.00",84684,12/15/2011,9/18/2015,FGLM,1394944,38895
483148807633,445854907,SGCE,SPYQ,141164,2013,"$25,128.00",1531,6/16/2013,10/8/2016,XGFD,1186445,42144
319276149695,474139351,QDXX,QQEQ,73308,1983,"$14,521.00",24189,3/2/2021,7/26/2014,UVNT,1257886,43318
987419378771,715244513,IIKD,IAEG,41963,2007,"$28,823.00",11391,2/11/2020,10/14/2016,CUMY,288854,38796
315767915786,329252853,HYMF,SIMG,226097,1994,"$9,359.00",88708,5/4/2005,12/24/2013,UEMW,458957,42101
414672069745,397790810,OJHJ,DSQK,217117,2020,"$15,639.00",80382,10/16/2014,3/8/2008,VSUT,1217199,42335
897729122306,787292759,EUDB,CCKY,153196,2009,"$13,995.00",90933,6/24/2018,6/26/2013,UKWO,170023,41125
914873551445,990741061,PTIU,WGCY,225566,1988,"$27,589.00",28993,4/14/2017,12/12/2019,BJUJ,1249591,39023
928362162414,925370551,NHFB,LCPN,125015,1998,"$9,753.00",1509,2/10/2007,8/26/2013,LARH,1159087,38824
345916352607,591129722,GJUU,TUVA,60557,2013,"$13,670.00",2513,8/29/2011,5/12/2018,KTFN,799111,39093
859376519176,456379630,WVOO,JKYF,137447,2016,"$7,843.00",15081,12/15/2013,8/25/2018,JQYT,268265,39271
715720865787,709330502,WKAN,TURJ,135246,1993,"$15,825.00",662,7/3/2019,1/18/2015,IISL,648222,39273
438330955928,891513000,QKVE,KKKC,5259,2014,"$8,959.00",45736,2/12/2010,3/5/2020,RLGL,318897,44252
584919722623,980088121,XROV,UDDH,152134,1983,"$13,472.00",89264,8/13/2008,3/25/2017,CJJH,1081437,40744
215854458806,683841519,MUUO,NFWB,123573,1985,"$10,511.00",7210,3/13/2014,1/25/2014,VIAE,1399081,41089
